BAHI	14.250241	76.566296
BAHN	25.465102	87.817005
BAHP	26.329700	80.744300
BAHW	22.851500	88.070600
BAI	26.840767	76.047363
BAJ	22.632550	73.034019
BAJE	12.720726	75.509205
BAK	26.975321	76.437378
BAKA	24.878000	86.916100
BAKL	21.124000	80.941300
BAKT	25.776800	87.096200
BAL	10.783100	78.981700
BALE	17.672400	75.855000
BALR	26.552100	83.738000
BALT	22.606513	88.292409
BALU	19.747200	85.200800
BAM	19.296400	84.796900
BAMA	26.922400	77.324600
BAMR	21.006600	84.475700
BAND	13.005770	77.628236
BANE	26.223103	73.010779
BANI	26.226900	81.620400
BANO	22.649839	84.896078
BAO	26.355435	78.098797
BAOL	29.136900	77.277800
BAP	19.619500	74.662500
BAPN	25.738634	86.140937
BAPR	27.593900	79.106000
BAQ	23.845257	77.944736
BAR	26.063028	74.113169
BARA	26.186164	73.700044
BARD	23.993700	81.507500
BARH	25.461700	85.709400
BARI	26.649798	77.617915
BARJ	31.099100	76.596400
BARL	28.494300	77.810200
BARN	22.653400	88.378600
BARS	27.442700	77.149700
BARU	22.205008	88.444190
BASN	29.093900	76.680200
BASR	26.907882	78.558856
BAT	31.821500	75.194400
BATL	23.231000	82.058400
BATM	31.857100	75.228700
BAU	21.334200	76.198500
BAV	18.901000	84.554400
BAW	13.073900	77.506700
BAWA	25.510996	72.551651
BAWD	21.323000	74.098200
BAY	15.145375	76.922235
BAZ	25.096500	76.504800
BBA	28.266613	78.403534
BBAE	22.795292	88.331838
BBAI	21.165900	73.693400
BBAR	23.977620	81.116679
BBC	25.731800	71.044400
BBD	17.337079	76.778769
BBDA	23.420723	86.109982
BBDB	22.576757	88.346568
BBDE	29.449900	76.966400
BBE	24.953000	85.623300
BBGN	26.661727	93.944263
BBHT	25.008057	84.977198
BBI	23.743555	87.019615
BBJ	27.963900	81.568200
BBK	26.935300	81.181000
BBKR	31.541600	75.238600
BBL	26.931900	78.807500
BBLA	22.654690	88.855362
BBLK	27.317700	79.366800
BBM	23.091686	86.211637
BBMN	32.639100	74.916300
BBN	22.104500	85.369000
BBNB	27.563211	94.666050
BBNH	14.136671	76.224624
BBO	28.747300	77.855400
BBPR	27.349600	81.070000
BBQ	13.102500	80.271300
BBR	22.605196	88.365316
BBS	20.265498	85.842705
BBSN	20.381490	85.835832
BBT	22.664700	88.427600
BBTR	22.196700	77.920400
BBU	25.173097	83.619003
BBW	26.874000	83.632700
BBY	26.305800	78.181200
BC	28.355646	79.403708
BCA	25.581378	85.900262
BCB	23.670330	86.416569
BCD	25.811303	84.214958
BCF	23.572100	88.038500
BCGM	23.106200	88.216600
